Runtime (em: downsample): 1.6689300537109375e-06
Runtime (cy: downsample): 2.379638195037842
Runtime (cy (older): downsample): 6.9141387939453125e-06
         879806 function calls (864749 primitive calls) in 3.646 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 __init__.py:1108(append)
        1    0.000    0.000    0.006    0.006 __init__.py:1137(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1138(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(__init__)
       33    0.000    0.000    0.001    0.000 __init__.py:1154(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:116(lrange)
        1    0.000    0.000    0.000    0.000 __init__.py:1167(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1183(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1187(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(<listcomp>)
       33    0.000    0.000    0.000    0.000 __init__.py:1205(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:121(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1246(Logger)
       34    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1273(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1303(rc_context)
        1    0.000    0.000    0.006    0.006 __init__.py:133(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1331(Popen)
      250    0.000    0.000    0.001    0.000 __init__.py:1373(safe_name)
      452    0.001    0.000    0.015    0.000 __init__.py:1381(safe_version)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
        2    0.000    0.000    0.290    0.145 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1417(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1433(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1439(NullProvider)
      261    0.000    0.000    0.008    0.000 __init__.py:1462(has_metadata)
      155    0.000    0.000    0.008    0.000 __init__.py:1465(get_metadata)
      155    0.000    0.000    0.008    0.000 __init__.py:1471(get_metadata_lines)
        3    0.000    0.000    0.264    0.088 __init__.py:15(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
      416    0.001    0.000    0.002    0.000 __init__.py:1523(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1539(EggProvider)
        6    0.000    0.000    0.000    0.000 __init__.py:1546(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1561(DefaultProvider)
      252    0.000    0.000    0.003    0.000 __init__.py:1564(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:1569(RootLogger)
        1    0.000    0.000    0.008    0.008 __init__.py:157(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(__init__)
      155    0.002    0.000    0.006    0.000 __init__.py:1576(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1580(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1590(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1598(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1605(ZipManifests)
        3    0.000    0.000    0.000    0.000 __init__.py:161(compare_versions)
        3    0.000    0.000    0.002    0.001 __init__.py:1610(build)
      152    0.000    0.000    0.000    0.000 __init__.py:1621(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:1624(cpu_times)
        1    0.000    0.000    0.000    0.000 __init__.py:1632(MemoizedZipManifests)
       12    0.000    0.000    0.003    0.000 __init__.py:1638(load)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1652(ContextualZipFile)
        3    0.000    0.000    0.002    0.001 __init__.py:1663(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(ZipProvider)
        1    0.000    0.000    0.025    0.025 __init__.py:168(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        9    0.000    0.000    0.000    0.000 __init__.py:1682(_zipinfo_name)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
       12    0.000    0.000    0.003    0.000 __init__.py:1701(zipinfo)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:174(<listcomp>)
       45    0.000    0.000    0.000    0.000 __init__.py:175(iteritems)
        3    0.000    0.000    0.000    0.000 __init__.py:1804(_index)
       33    0.000    0.000    0.001    0.000 __init__.py:1806(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        2    0.000    0.000    0.000    0.000 __init__.py:181(itervalues)
        9    0.000    0.000    0.003    0.000 __init__.py:1821(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:1841(FileMetadata)
       36    0.000    0.000    0.000    0.000 __init__.py:185(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
       48    0.000    0.000    0.000    0.000 __init__.py:1853(__init__)
       72    0.000    0.000    0.001    0.000 __init__.py:1856(has_metadata)
       48    0.001    0.000    0.003    0.000 __init__.py:1859(get_metadata)
      372    0.000    0.000    0.000    0.000 __init__.py:186(bind_method)
       48    0.000    0.000    0.003    0.000 __init__.py:1872(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1876(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
      196    0.000    0.000    0.000    0.000 __init__.py:1896(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:19(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1901(EggMetadata)
        6    0.000    0.000    0.000    0.000 __init__.py:1904(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1919(register_finder)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<listcomp>)
       20    0.000    0.000    0.000    0.000 __init__.py:1929(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(NullHandler)
       12    0.000    0.000    0.003    0.000 __init__.py:1936(find_eggs_in_zip)
        1    0.000    0.000    0.000    0.000 __init__.py:195(SetuptoolsVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:196(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1960(find_nothing)
      256    0.002    0.000    0.052    0.000 __init__.py:1967(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:199(SetuptoolsLegacyVersion)
        5    0.000    0.000    0.778    0.156 __init__.py:2(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:2018(register_namespace_handler)
       85    0.000    0.000    0.006    0.000 __init__.py:2036(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:204(parse_version)
        1    0.000    0.000    0.000    0.000 __init__.py:2091(declare_namespace)
        1    0.000    0.000    0.014    0.014 __init__.py:212(<module>)
      125    0.000    0.000    0.006    0.000 __init__.py:2124(fixup_namespace_packages)
       34    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:214(_declare_state)
        9    0.000    0.000    0.001    0.000 __init__.py:2163(normalize_path)
     1143    0.000    0.000    0.001    0.000 __init__.py:2168(_normalize_cached)
       18    0.000    0.000    0.000    0.000 __init__.py:2176(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
      810    0.001    0.000    0.005    0.000 __init__.py:2193(yield_lines)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        1    0.000    0.000    0.325    0.325 __init__.py:22(<module>)
